State,year,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers
Puerto Rico,2014,980,23710,4.133277098270772
United States,2015,1597520,6869665,23.25470019280416
Alabama,2015,5105,76725,6.6536331052460085
Alaska,2015,1265,16015,7.8988448329690915
Arizona,2015,21685,125460,17.284393432169615
Arkansas,2015,4820,34755,13.868508128326859
California,2015,401495,982780,40.852988461303646
Colorado,2015,20005,170785,11.713557982258395
Connecticut,2015,23055,89210,25.843515300975227
Delaware,2015,6775,22965,29.501415197038973
District of Columbia,2015,7835,36135,21.682579216825793
Florida,2015,73065,295980,24.68578958037705
Georgia,2015,43875,204765,21.42700168485825
Hawaii,2015,3400,23900,14.225941422594143
Idaho,2015,2560,27615,9.270324099221437
Illinois,2015,70400,275780,25.527594459351654
Indiana,2015,13640,110360,12.359550561797752
Iowa,2015,7120,55660,12.791951131872082
Kansas,2015,7510,60265,12.46162781050361
Kentucky,2015,5010,56220,8.911419423692637
Louisiana,2015,7420,61230,12.1182426914911
Maine,2015,605,20845,2.9023746701846966
Maryland,2015,55860,232895,23.985057644002662
Massachusetts,2015,65845,238070,27.657831730163394
Michigan,2015,40585,222340,18.253575604929388
Minnesota,2015,23195,147590,15.715834406125076
Mississippi,2015,1485,26505,5.602716468590832
Missouri,2015,11715,112195,10.441641784393244
Montana,2015,380,15325,2.4796084828711256
Nebraska,2015,4055,34700,11.685878962536023
Nevada,2015,7745,35465,21.838432257154942
New Hampshire,2015,6265,41890,14.955836715206495
New Jersey,2015,98635,228000,43.260964912280706
New Mexico,2015,3330,36600,9.098360655737705
New York,2015,99695,348530,28.6044242963303
North Carolina,2015,34435,198470,17.350229253791504
North Dakota,2015,995,12945,7.6863653920432595
Ohio,2015,29095,227405,12.794353686154658
Oklahoma,2015,4645,49800,9.32730923694779
Oregon,2015,18400,97695,18.834126618557757
Pennsylvania,2015,41185,259725,15.857156607950717
Rhode Island,2015,3460,20945,16.519455717354976
South Carolina,2015,8480,72420,11.709472521402928
South Dakota,2015,565,12220,4.623567921440261
Tennessee,2015,10975,98815,11.106613368415728
Texas,2015,153540,566615,27.097764796202007
Utah,2015,5335,70110,7.6094708315504205
Vermont,2015,805,14885,5.408128988915015
Virginia,2015,64050,296610,21.594012339435622
Washington,2015,62245,229380,27.136193216496647
West Virginia,2015,1900,21610,8.79222582137899
Wisconsin,2015,10860,122320,8.878351863963376
Wyoming,2015,210,7855,2.673456397199236
Puerto Rico,2015,905,22285,4.0610275970383665
United States,2016,1688665,7238070,23.330321480726216
Alabama,2016,5765,83780,6.881117211745047
Alaska,2016,1395,16130,8.648481091134531
Arizona,2016,24160,139775,17.28492219638705
Arkansas,2016,5035,35715,14.097718045639088
California,2016,426290,1057585,40.3078712349362
Colorado,2016,22515,190130,11.841897648977016
Connecticut,2016,22460,96890,23.180926824233666
Delaware,2016,5695,20560,27.69941634241245
District of Columbia,2016,5320,35565,14.958526641360889
Florida,2016,77665,316800,24.515467171717173
Georgia,2016,47525,214635,22.142241479721385
Hawaii,2016,2925,26870,10.885746185336806
Idaho,2016,3865,33940,11.3877430760165
Illinois,2016,73510,286205,25.684387065215493
Indiana,2016,14805,109475,13.523635533226763
Iowa,2016,6850,59840,11.447192513368984
Kansas,2016,9440,60735,15.542932411294972
Kentucky,2016,5410,60050,9.009159034138218
Louisiana,2016,5030,54915,9.15961030683784
Maine,2016,1230,22975,5.353645266594124
Maryland,2016,57185,245330,23.309419964945178
Massachusetts,2016,76475,256035,29.868963227683714
Michigan,2016,44345,233725,18.973152208792385
Minnesota,2016,25880,150795,17.16237275771743
Mississippi,2016,780,29185,2.6726057906458798
Missouri,2016,14615,117000,12.491452991452991
Montana,2016,800,15830,5.053695514845231
Nebraska,2016,3485,36175,9.633724948168625
Nevada,2016,6110,38930,15.694836886719754
New Hampshire,2016,4375,39985,10.941603101162936
New Jersey,2016,99345,236175,42.064147348364564
New Mexico,2016,4615,37565,12.285372021828831
New York,2016,100455,369165,27.211409532322943
North Carolina,2016,37055,203015,18.252345885771987
North Dakota,2016,435,15100,2.880794701986755
Ohio,2016,30410,232545,13.077038852695178
Oklahoma,2016,5660,56440,10.02834868887314
Oregon,2016,16575,104020,15.934435685445106
Pennsylvania,2016,46070,269335,17.105092171459336
Rhode Island,2016,5800,25505,22.740639090374437
South Carolina,2016,5500,78390,7.016201046051792
South Dakota,2016,925,13850,6.678700361010831
Tennessee,2016,12135,105650,11.486038807382867
Texas,2016,154835,581675,26.618816349335972
Utah,2016,7855,75145,10.453123960343335
Vermont,2016,745,14685,5.073203949608444
Virginia,2016,69340,302335,22.934823953561448
Washington,2016,70985,248755,28.53610982693815
West Virginia,2016,1545,22240,6.946942446043165
Wisconsin,2016,16240,129430,12.547322877230934
Wyoming,2016,275,8680,3.1682027649769586
Puerto Rico,2016,925,22810,4.055238930293731
United States,2017,1781150,7500185,23.74808088067161
Alabama,2017,6105,80995,7.537502314957713
Alaska,2017,1025,15420,6.647211413748379
Arizona,2017,24805,140395,17.66800811994729
Arkansas,2017,5425,36165,15.000691276095674
California,2017,441850,1067725,41.38237842141001
Colorado,2017,24815,197350,12.574106916645553
Connecticut,2017,21135,91790,23.0253840287613
Delaware,2017,5270,20935,25.173155003582515
District of Columbia,2017,9260,38290,24.18386001566989
Florida,2017,80495,327600,24.57112332112332
Georgia,2017,49970,216585,23.071773206824112
Hawaii,2017,4675,27045,17.286004806803476
