State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-
Nevada,2010,379814.1,26840.0,14151.04694485842
New Hampshire,2010,350470.6,29200.0,12002.417808219177
New Jersey,2010,2852961.6,185360.0,15391.4630988347
New Mexico,2010,3337955.4,36130.0,92387.36230279545
New York,2010,5602221.5,,
North Carolina,2010,2151161.4,155030.0,13875.775011288137
North Dakota,2010,119582.3,11050.0,10821.927601809955
Ohio,2010,4098787.4,195840.0,20929.26572712418
Oklahoma,2010,429597.2,44190.0,9721.593120615524
Oregon,2010,675292.2,,
Pennsylvania,2010,4963404.2,,
Rhode Island,2010,669845.6,18210.0,36784.49203734212
South Carolina,2010,662205.7,56230.0,11776.733060643783
South Dakota,2010,74962.3,11150.0,6723.076233183857
Tennessee,2010,2104843.0,71850.0,29294.961725817677
Texas,2010,6896125.3,451390.0,15277.532289151288
Utah,2010,1708887.0,50830.0,33619.65374778674
Vermont,2010,142251.3,12670.0,11227.411207576954
Virginia,2010,9111678.3,255800.0,35620.32173573104
Washington,2010,3915467.3,186210.0,21027.15912142205
West Virginia,2010,312779.0,17070.0,18323.315758640892
Wisconsin,2010,795572.8,99240.0,8016.654574768239
Wyoming,2010,36719.8,8260.0,4445.496368038741
Puerto Rico,2010,94794.8,20850.0,4546.513189448441
United States,2011,132793597.8,5794980.0,22915.281467753124
Alabama,2011,5202092.0,70290.0,74008.99132166737
Alaska,2011,196454.5,15680.0,12528.985969387755
Arizona,2011,2917047.9,115330.0,25293.053845486862
Arkansas,2011,178642.3,29350.0,6086.62010221465
California,2011,22768910.9,800430.0,28445.848981172618
Colorado,2011,3815538.7,144750.0,26359.507426597585
Connecticut,2011,2425967.6,76550.0,31691.281515349445
Delaware,2011,114728.2,22430.0,5114.944271065538
District of Columbia,2011,3013539.4,62660.0,48093.511011809765
Florida,2011,2481826.6,244970.0,10131.14503816794
Georgia,2011,1421811.7,147820.0,9618.534027871736
Hawaii,2011,403573.6,20100.0,20078.28855721393
Idaho,2011,430211.7,25950.0,16578.48554913295
Illinois,2011,2878085.3,204420.0,14079.274532824575
Indiana,2011,903000.0,93640.0,9643.314822725331
Iowa,2011,695338.5,48930.0,14210.882893930106
Kansas,2011,367779.8,51530.0,7137.197748884146
Kentucky,2011,241959.2,51990.0,4653.956530101943
Louisiana,2011,597294.0,42760.0,13968.521983161834
Maine,2011,179968.8,17490.0,10289.811320754716
Maryland,2011,15750592.7,173020.0,91033.36435094208
Massachusetts,2011,7758388.4,220670.0,35158.32872615218
Michigan,2011,2153449.0,188380.0,11431.409916126977
Minnesota,2011,949293.0,130340.0,7283.205462636182
Mississippi,2011,588082.5,23440.0,25088.84385665529
Missouri,2011,1193265.6,106930.0,11159.315440007482
Montana,2011,181657.3,14960.0,12142.867647058823
Nebraska,2011,262173.0,33800.0,7756.597633136095
Nevada,2011,478098.5,28370.0,16852.255904124075
New Hampshire,2011,406011.8,29260.0,13876.001367053997
New Jersey,2011,2582709.2,182210.0,14174.354865265354
New Mexico,2011,3456208.0,35520.0,97303.15315315315
New York,2011,5042119.6,310510.0,16238.18749798718
North Carolina,2011,2060306.3,161880.0,12727.367803311095
North Dakota,2011,117702.5,12070.0,9751.6570008285
Ohio,2011,3554656.3,208140.0,17078.198808494282
Oklahoma,2011,462535.7,47090.0,9822.376300700786
Oregon,2011,711080.7,,
Pennsylvania,2011,4512982.4,,
Rhode Island,2011,610133.1,19450.0,31369.311053984573
South Carolina,2011,496684.2,61020.0,8139.695181907571
South Dakota,2011,61087.0,11790.0,5181.255301102629
Tennessee,2011,1898594.7,77630.0,24456.97153162437
Texas,2011,5475367.0,469080.0,11672.565447258463
Utah,2011,1756403.3,51350.0,34204.54333008764
Vermont,2011,124444.4,13100.0,9499.57251908397
Virginia,2011,8287062.9,267620.0,30965.78320005979
Washington,2011,4931381.2,196760.0,25062.925391339704
West Virginia,2011,239806.5,18300.0,13104.180327868853
Wisconsin,2011,742243.1,102320.0,7254.1350664581705
Wyoming,2011,37192.8,8440.0,4406.729857819905
Puerto Rico,2011,97350.8,20990.0,4637.960933777989
United States,2012,135995440.6,5968240.0,22786.523430693134
Alabama,2012,5159117.2,72880.0,70789.2041712404
Alaska,2012,159055.9,16260.0,9782.035670356703
Arizona,2012,2405217.2,116930.0,20569.71863508082
Arkansas,2012,183826.6,29530.0,6225.079580088046
California,2012,18036282.2,821780.0,21947.82326170021
Colorado,2012,3744745.1,149020.0,25129.144410146288
Connecticut,2012,2231082.3,78450.0,28439.544933078392
Delaware,2012,108745.5,23440.0,4639.313139931741
District of Columbia,2012,3339296.3,63600.0,52504.658805031446
Florida,2012,2355838.5,248300.0,9487.87152637938
Georgia,2012,1133313.9,148830.0,7614.821608546664
Hawaii,2012,382507.5,20930.0,18275.561395126613
Idaho,2012,446936.4,25260.0,17693.444180522565
Illinois,2012,2399463.2,220170.0,10898.229549893265
