State,year,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e
Maryland,2008,1184,167070.0,7.086849823427306
Massachusetts,2008,3510,217310.0,16.152040863282867
Michigan,2008,2969,204290.0,14.533261539967693
Minnesota,2008,2558,134440.0,19.027075275215708
Mississippi,2008,105,27270.0,3.8503850385038505
Missouri,2008,616,105390.0,5.844956827023437
Montana,2008,91,,
Nebraska,2008,190,31820.0,5.971087366436203
Nevada,2008,375,27300.0,13.736263736263735
New Hampshire,2008,483,29150.0,16.569468267581474
New Jersey,2008,2668,198060.0,13.470665454912652
New Mexico,2008,285,34560.0,8.246527777777779
New York,2008,4880,326510.0,14.945943462681083
North Carolina,2008,1822,153680.0,11.855804268610099
North Dakota,2008,63,9450.0,6.666666666666667
Ohio,2008,2221,206320.0,10.764831329972857
Oklahoma,2008,413,48900.0,8.445807770961146
Oregon,2008,1805,70070.0,25.7599543313829
Pennsylvania,2008,2448,227170.0,10.776070783994365
Rhode Island,2008,212,18090.0,11.7191818684356
South Carolina,2008,386,57770.0,6.681668686169292
South Dakota,2008,52,11870.0,4.380791912384161
Tennessee,2008,574,72760.0,7.88894997251237
Texas,2008,5688,463850.0,12.262584887355827
Utah,2008,641,52570.0,12.193266121361994
Vermont,2008,430,12360.0,34.78964401294499
Virginia,2008,1043,259280.0,4.022678185745141
Washington,2008,3480,,
West Virginia,2008,76,17000.0,4.470588235294118
Wisconsin,2008,1347,101680.0,13.24744295830055
Wyoming,2008,38,8850.0,4.293785310734463
Puerto Rico,2008,17,22970.0,0.740095777100566
United States,2009,81961,5785710.0,14.166109258846364
Alabama,2009,300,68670.0,4.36871996505024
Alaska,2009,38,14780.0,2.571041948579161
Arizona,2009,1541,102820.0,14.987356545419178
Arkansas,2009,96,31420.0,3.0553787396562697
California,2009,20601,795240.0,25.905387052965143
Colorado,2009,1711,148090.0,11.553784860557768
Connecticut,2009,1396,79160.0,17.635169277412835
Delaware,2009,315,22200.0,14.18918918918919
District of Columbia,2009,57,61430.0,0.9278853980139997
Florida,2009,2157,247070.0,8.7303193426964
Georgia,2009,1410,,
Hawaii,2009,73,19020.0,3.838065194532071
Idaho,2009,942,23520.0,40.05102040816327
Illinois,2009,2875,221170.0,12.99905050413709
Indiana,2009,1108,90750.0,12.209366391184574
Iowa,2009,652,47080.0,13.848768054375531
Kansas,2009,429,56200.0,7.633451957295374
Kentucky,2009,366,51200.0,7.1484375
Louisiana,2009,265,43630.0,6.073802429520971
Maine,2009,115,17910.0,6.420993858179788
Maryland,2009,1258,169540.0,7.4200778577326885
Massachusetts,2009,3714,217690.0,17.060958243373605
Michigan,2009,2961,187760.0,15.770132083510864
Minnesota,2009,2608,134060.0,19.45397583171714
Mississippi,2009,131,25940.0,5.050115651503469
Missouri,2009,711,104310.0,6.816220880069025
Montana,2009,80,14210.0,5.629838142153413
Nebraska,2009,192,31790.0,6.03963510537905
Nevada,2009,341,27560.0,12.37300435413643
New Hampshire,2009,549,30550.0,17.970540098199674
New Jersey,2009,2788,195690.0,14.247023353262815
New Mexico,2009,310,36950.0,8.389715832205683
New York,2009,5201,315480.0,16.485989603144414
North Carolina,2009,2017,158920.0,12.6919204631261
North Dakota,2009,80,9930.0,8.056394763343404
Ohio,2009,2334,207930.0,11.224931467320733
Oklahoma,2009,412,45730.0,9.009403017712662
Oregon,2009,1781,69630.0,25.578055435875342
Pennsylvania,2009,2648,,
Rhode Island,2009,207,18120.0,11.42384105960265
South Carolina,2009,461,57370.0,8.035558654348963
South Dakota,2009,46,11570.0,3.975799481417459
Tennessee,2009,635,68970.0,9.20690155139916
Texas,2009,5861,470010.0,12.469947447926641
Utah,2009,758,51270.0,14.784474351472596
Vermont,2009,437,12780.0,34.19405320813772
Virginia,2009,1079,264090.0,4.08572835018365
Washington,2009,4298,196850.0,21.833883667767335
West Virginia,2009,96,16350.0,5.871559633027523
Wisconsin,2009,1441,100850.0,14.28854734754586
Wyoming,2009,60,8920.0,6.72645739910314
Puerto Rico,2009,15,22760.0,0.6590509666080844
United States,2010,107231,5549980.0,19.320970526019916
Alabama,2010,454,68450.0,6.632578524470416
Alaska,2010,28,15430.0,1.814646791963707
Arizona,2010,1937,102870.0,18.829590745601244
Arkansas,2010,143,29200.0,4.897260273972603
California,2010,27254,758830.0,35.91581777209652
Colorado,2010,2146,143210.0,14.984987081907688
Connecticut,2010,1833,74990.0,24.443259101213496
Delaware,2010,376,20920.0,17.97323135755258
District of Columbia,2010,81,59870.0,1.3529313512610657
Florida,2010,2902,239600.0,12.111853088480801
Georgia,2010,1900,145220.0,13.083597300647295
Hawaii,2010,124,19500.0,6.358974358974359
Idaho,2010,1090,24130.0,45.17198508081226
Illinois,2010,3623,197120.0,18.37966720779221
Indiana,2010,1504,90710.0,16.580310880829014
Iowa,2010,746,44140.0,16.900770276393292
Kansas,2010,613,48970.0,12.51786808249949
Kentucky,2010,536,48790.0,10.985857757737241
Louisiana,2010,301,44200.0,6.8099547511312215
Maine,2010,202,17470.0,11.562678878076703
Maryland,2010,1567,166700.0,9.400119976004799
Massachusetts,2010,4921,208160.0,23.640468870099923
Michigan,2010,3798,176570.0,21.509882766041798
Minnesota,2010,3575,125100.0,28.577138289368506
Mississippi,2010,156,23770.0,6.562894404711822
Missouri,2010,966,102300.0,9.442815249266863
Montana,2010,101,14620.0,6.908344733242134
Nebraska,2010,211,30930.0,6.821855803427093
Nevada,2010,533,26840.0,19.858420268256335
New Hampshire,2010,738,29200.0,25.273972602739725
New Jersey,2010,3836,185360.0,20.694864048338367
New Mexico,2010,432,36130.0,11.956822585109329
New York,2010,6952,,
North Carolina,2010,2635,155030.0,16.99671031413275
North Dakota,2010,104,11050.0,9.411764705882351
Ohio,2010,3216,195840.0,16.42156862745098
Oklahoma,2010,517,44190.0,11.69947952025345
Oregon,2010,2036,,
Pennsylvania,2010,3332,,
Rhode Island,2010,256,18210.0,14.058209774848985
South Carolina,2010,517,56230.0,9.194380224079673
