State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
Indiana,2005,566818.0,79910.0,7093.204855462395,1108.0,79910.0,13.86559879864848,8405.0,87365.0,9.62055743146569,5455.0,248171.0,2.1980811617795792
Iowa,2005,487663.0,40300.0,12100.818858560797,558.0,40300.0,13.846153846153848,2440.0,41550.0,5.872442839951865,1669.0,123191.0,1.3548067634810983
Kansas,2005,357797.0,51630.0,6930.021305442572,376.0,51630.0,7.282587642843308,4775.0,48590.0,9.827124922823629,2366.0,105526.0,2.2421014726228607
Kentucky,2005,296308.0,44530.0,6654.120817426455,343.0,44530.0,7.702672355715248,4115.0,42645.0,9.649431351858366,1136.0,145011.0,0.7833888463633794
Louisiana,2005,443708.0,41030.0,10814.233487691932,273.0,41030.0,6.653668047769924,3315.0,47260.0,7.014388489208632,966.0,199595.0,0.483980059620732
Maine,2005,292125.0,15500.0,18846.774193548383,152.0,15500.0,9.806451612903226,850.0,17455.0,4.8696648524778,524.0,47079.0,1.113022791478154
Maryland,2005,12500835.0,160120.0,78071.66500124906,1190.0,160120.0,7.431926055458407,39125.0,195685.0,19.993867695531083,14136.0,262100.0,5.393361312476154
Massachusetts,2005,6591926.0,193180.0,34123.23221865618,3098.0,193180.0,16.03685681747593,51555.0,189160.0,27.254705011630364,17757.0,341993.0,5.192211536493438
Michigan,2005,1177007.0,192150.0,6125.459276606818,3329.0,192150.0,17.325006505334375,33890.0,195255.0,17.35678983892858,18372.0,400269.0,4.589913283316969
Minnesota,2005,768269.0,120930.0,6353.005871165137,2403.0,120930.0,19.8709997519226,14790.0,119600.0,12.366220735785951,7137.0,245381.0,2.908538150875577
Mississippi,2005,438243.0,23480.0,18664.522998296423,117.0,23480.0,4.982964224872231,1610.0,22360.0,7.20035778175313,777.0,82449.0,0.942400756831496
